timestamp,bus,id,len,b7,b6,b5,b4,b3,b2,b1,b0
1751721260813,MS,0x50C,3,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0x0C
1751721260829,MS,0x511,3,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0x11
1751721260846,MS,0x513,3,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0x13
1751721260866,MS,0x401,8,0x00,0x00,0x00,0x00,0x00,0x00,0x70,0x02
1751721260912,MS,0x50C,3,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x11
1751721260923,MS,0x28F,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721260932,MS,0x290,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721260943,MS,0x291,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721260953,MS,0x292,8,0x00,0x00,0x1C,0x20,0x00,0x00,0x00,0x00
1751721260963,MS,0x2B0,8,0x00,0x10,0x00,0x00,0x00,0x00,0x00,0x00
1751721260972,MS,0x471,7,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721260982,MS,0x473,3,0x00,0x00,0x00,0x00,0x00,0x00,0xC0,0x00
1751721260995,MS,0x593,0,0x00,0x00,0x00,0x00,0x00,0x00,0xC0,0x00
1751721261002,MS,0x58C,0,0x00,0x00,0x00,0x00,0x00,0x00,0xC0,0x00
1751721261008,MS,0x285,3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721261012,MS,0x39E,8,0xFF,0xFF,0xE7,0x5B,0x03,0x02,0x00,0x02
1751721261016,MS,0x511,3,0xFF,0xFF,0xE7,0x5B,0x03,0x00,0x02,0x13
1751721261022,MS,0x274,8,0xAA,0x55,0x00,0x00,0x00,0x00,0x00,0x00
1751721261027,MS,0x433,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721261031,MS,0x292,8,0x00,0x00,0x1C,0x20,0x00,0x00,0x00,0x00
1751721261058,MS,0x39E,8,0xFF,0xFF,0xE7,0x5B,0x03,0x02,0x00,0x02
1751721261106,MS,0x513,3,0xFF,0xFF,0xE7,0x5B,0x03,0x00,0x02,0x0C
1751721261113,MS,0x285,3,0xFF,0xFF,0xE7,0x5B,0x03,0x00,0x00,0x00
1751721261119,MS,0x39E,8,0xFF,0xFF,0xE7,0x5B,0x03,0x02,0x00,0x02
1751721261125,MS,0x274,8,0xAA,0x55,0x00,0x00,0x00,0x00,0x00,0x00
1751721261132,MS,0x433,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721261138,MS,0x28F,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721261144,MS,0x290,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721261150,MS,0x291,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721261155,MS,0x292,8,0x00,0x00,0x1C,0x20,0x00,0x00,0x00,0x00
1751721261160,MS,0x39E,8,0xFF,0xFF,0xE7,0x5B,0x03,0x02,0x00,0x02
1751721261165,MS,0x2B0,8,0x00,0x10,0x00,0x00,0x00,0x00,0x00,0x00
1751721261175,MS,0x28F,8,0x00,0x10,0x27,0x00,0x01,0x00,0x00,0x80
1751721261186,MS,0x290,8,0x20,0x20,0x20,0x20,0x20,0x20,0x20,0xC0
1751721261205,MS,0x291,8,0x20,0x20,0x20,0x20,0x20,0x20,0x20,0x87
1751721261210,MS,0x285,3,0x20,0x20,0x20,0x20,0x20,0x00,0x00,0x00
1751721261214,MS,0x39E,8,0xFF,0xFF,0xE7,0x5B,0x03,0x02,0x00,0x02
1751721261218,MS,0x50C,3,0xFF,0xFF,0xE7,0x5B,0x03,0x00,0x02,0x11
1751721261222,MS,0x274,8,0xAA,0x55,0x00,0x00,0x00,0x00,0x00,0x00
1751721261226,MS,0x433,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1751721261230,MS,0x290,8,0x4C,0x4C,0x45,0x48,0x20,0x20,0x20,0xC0
1751721261236,MS,0x292,8,0x00,0x00,0x1C,0x20,0x00,0x00,0x00,0x00
1751721261248,MS,0x291,8,0x20,0x20,0x20,0x20,0x20,0x20,0x4F,0x87
1751721261260,MS,0x39E,8,0xFF,0xFF,0xE7,0x5B,0x03,0x02,0x00,0x02
1751721261269,MS,0x401,8,0x00,0x00,0x00,0x00,0x00,0x00,0x70,0x02
1751721261308,MS,0x285,3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
