Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1751721261816,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261822,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721261829,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721261835,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721261858,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261870,00000511,false,1,3,13,02,00
1751721261908,00000285,false,1,3,00,00,00
1751721261912,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261918,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721261922,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721261927,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721261938,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721261947,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721261956,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721261960,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721261966,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721261970,00000513,false,1,3,0C,02,00
1751721261975,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721261988,00000471,false,1,7,00,00,00,00,00,00,00
1751721261998,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262007,00000473,false,1,3,00,C0,00
1751721262013,00000285,false,1,3,00,00,00
1751721262018,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262023,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721262027,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721262031,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721262055,0000050C,false,1,3,11,02,00
1751721262059,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262067,00000401,false,1,8,02,70,00,00,00,00,00,00
1751721262108,00000285,false,1,3,00,00,00
1751721262112,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262118,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721262122,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721262127,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721262136,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721262146,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262150,00000511,false,1,3,13,02,00
1751721262158,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721262163,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262169,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721262175,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721262195,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262210,00000285,false,1,3,00,00,00
1751721262216,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262222,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721262228,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721262235,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721262248,00000513,false,1,3,0C,02,00
1751721262259,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262308,00000285,false,1,3,00,00,00
1751721262312,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262318,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721262322,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721262326,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721262337,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721262347,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262357,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721262361,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262367,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721262375,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721262385,0000050C,false,1,3,11,02,00
1751721262396,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262408,00000285,false,1,3,00,00,00
1751721262412,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262418,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721262424,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721262430,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721262435,00000471,false,1,7,00,00,00,00,00,00,00
1751721262458,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262466,00000401,false,1,8,02,70,00,00,00,00,00,00
1751721262471,00000511,false,1,3,13,02,00
1751721262508,00000285,false,1,3,00,00,00
1751721262512,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262518,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721262522,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721262528,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721262537,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721262545,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262555,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721262559,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262565,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721262570,00000513,false,1,3,0C,02,00
1751721262575,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721262596,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262608,00000285,false,1,3,00,00,00
1751721262612,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262618,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721262622,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721262627,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721262655,0000050C,false,1,3,11,02,00
1751721262659,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262707,00000285,false,1,3,00,00,00
1751721262714,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262718,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721262722,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721262726,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721262735,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721262747,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262754,00000511,false,1,3,13,02,00
1751721262759,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721262763,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262767,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721262776,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721262787,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262807,00000285,false,1,3,00,00,00
1751721262812,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262818,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721262823,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721262827,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721262846,00000513,false,1,3,0C,02,00
1751721262860,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262869,00000401,false,1,8,02,70,00,00,00,00,00,00
1751721262910,00000285,false,1,3,00,00,00
1751721262916,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262920,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721262924,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721262928,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721262935,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721262945,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262957,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721262963,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721262967,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721262977,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721262987,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721262997,00000471,false,1,7,00,00,00,00,00,00,00
1751721263007,00000473,false,1,3,00,C0,00
1751721263013,00000285,false,1,3,00,00,00
1751721263020,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263025,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263029,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721263033,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721263037,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263042,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721263045,0000050C,false,1,3,11,02,00
1751721263059,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263110,00000285,false,1,3,00,00,00
1751721263116,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263123,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721263127,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721263131,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721263135,00000511,false,1,3,13,02,00
1751721263139,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263145,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263155,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721263159,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263165,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721263175,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263195,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263207,00000285,false,1,3,00,00,00
1751721263212,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263219,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721263225,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721263231,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721263236,00000513,false,1,3,0C,02,00
1751721263260,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263268,00000401,false,1,8,02,70,00,00,00,00,00,00
1751721263309,00000285,false,1,3,00,00,00
1751721263316,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263321,0000050C,false,1,3,11,02,00
1751721263326,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721263330,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721263334,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721263338,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263345,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263357,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721263363,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263369,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721263377,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263395,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263409,00000285,false,1,3,00,00,00
1751721263416,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263421,00000511,false,1,3,13,02,00
1751721263425,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263429,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721263433,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721263437,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721263442,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263446,00000471,false,1,7,00,00,00,00,00,00,00
1751721263458,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263508,00000513,false,1,3,0C,02,00
1751721263515,00000285,false,1,3,00,00,00
1751721263521,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263527,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721263534,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721263540,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721263546,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263551,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263555,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721263559,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263565,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721263577,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263597,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263607,0000050C,false,1,3,11,02,00
1751721263613,00000285,false,1,3,00,00,00
1751721263619,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263623,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721263627,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721263631,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721263658,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263666,00000401,false,1,8,02,70,00,00,00,00,00,00
1751721263689,00000511,false,1,3,13,02,00
1751721263707,00000285,false,1,3,00,00,00
1751721263713,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263718,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721263722,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721263726,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721263735,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263745,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263755,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721263759,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263765,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721263775,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263788,00000513,false,1,3,0C,02,00
1751721263797,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263809,00000285,false,1,3,00,00,00
1751721263815,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263822,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721263828,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721263834,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721263857,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263877,0000050C,false,1,3,11,02,00
1751721263909,00000285,false,1,3,00,00,00
1751721263916,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263922,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721263928,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721263934,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721263941,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263947,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721263955,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721263961,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721263966,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721263972,00000511,false,1,3,13,02,00
1751721263978,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721263985,00000471,false,1,7,00,00,00,00,00,00,00
1751721263995,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721264005,00000473,false,1,3,00,C0,00
1751721264009,00000285,false,1,3,00,00,00
1751721264013,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264017,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721264023,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721264029,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721264035,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721264042,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721264058,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264066,00000401,false,1,8,02,70,00,00,00,00,00,00
1751721264070,00000513,false,1,3,0C,02,00
1751721264109,00000285,false,1,3,00,00,00
1751721264116,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264122,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721264128,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721264135,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721264141,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721264145,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721264155,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721264159,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264165,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721264175,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721264185,0000050C,false,1,3,11,02,00
1751721264195,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721264207,00000285,false,1,3,00,00,00
1751721264211,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264217,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721264222,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721264226,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721264257,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264268,00000511,false,1,3,13,02,00
1751721264309,00000285,false,1,3,00,00,00
1751721264315,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264319,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721264323,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721264326,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721264335,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721264347,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721264357,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721264363,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264369,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721264375,00000513,false,1,3,0C,02,00
1751721264381,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721264395,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721264407,00000285,false,1,3,00,00,00
1751721264411,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264416,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721264422,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721264428,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721264433,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721264437,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721264445,00000471,false,1,7,00,00,00,00,00,00,00
1751721264455,0000050C,false,1,3,11,02,00
1751721264459,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264466,00000401,false,1,8,02,70,00,00,00,00,00,00
1751721264507,00000285,false,1,3,00,00,00
1751721264513,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264517,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721264522,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721264526,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721264535,00000290,false,1,8,C0,20,20,20,48,45,4C,4C
1751721264545,00000291,false,1,8,87,4F,20,20,20,20,20,20
1751721264549,00000511,false,1,3,13,02,00
1751721264555,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721264562,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264568,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721264575,00000290,false,1,8,C0,20,20,20,20,20,20,20
1751721264595,00000291,false,1,8,87,20,20,20,20,20,20,20
1751721264609,00000285,false,1,3,00,00,00
1751721264616,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264620,00000290,false,1,8,C0,20,20,20,20,20,20,20
1751721264627,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721264633,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721264639,00000292,false,1,8,00,00,00,00,20,1C,00,00
1751721264643,00000291,false,1,8,87,20,20,20,20,20,20,20
1751721264648,00000513,false,1,3,0C,02,00
1751721264657,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264666,00000292,false,1,8,00,00,00,00,22,1C,00,00
1751721264677,00000290,false,1,8,C0,20,20,20,20,20,20,20
1751721264697,00000291,false,1,8,87,20,20,20,20,20,20,20
1751721264709,00000285,false,1,3,00,00,00
